measure,age,ss_1_19,raw_min,raw_max
OTm_total,10.25,13,14,14
OTm_total,10.25,14,15,15
OTm_total,10.25,15,NA,NA
OTm_total,10.25,16,NA,NA
OTm_total,10.25,17,16,16
OTm_total,10.25,18,NA,NA
OTm_total,10.25,19,NA,NA
OTm_total,10.5,1,0,4
OTm_total,10.5,2,5,5
OTm_total,10.5,3,6,6
OTm_total,10.5,4,7,7
OTm_total,10.5,5,8,8
OTm_total,10.5,6,9,9
OTm_total,10.5,7,10,10
OTm_total,10.5,8,11,11
OTm_total,10.5,9,NA,NA
OTm_total,10.5,10,12,12
OTm_total,10.5,11,13,13
OTm_total,10.5,12,NA,NA
OTm_total,10.5,13,14,14
OTm_total,10.5,14,15,15
OTm_total,10.5,15,NA,NA
OTm_total,10.5,16,NA,NA
OTm_total,10.5,17,16,16
OTm_total,10.5,18,NA,NA
OTm_total,10.5,19,NA,NA
OTm_total,10.75,1,0,4
OTm_total,10.75,2,5,5
OTm_total,10.75,3,6,6
OTm_total,10.75,4,7,7
OTm_total,10.75,5,8,8
OTm_total,10.75,6,9,9
OTm_total,10.75,7,10,10
OTm_total,10.75,8,11,11
OTm_total,10.75,9,12,12
OTm_total,10.75,10,NA,NA
OTm_total,10.75,11,13,13
OTm_total,10.75,12,14,14
OTm_total,10.75,13,NA,NA
OTm_total,10.75,14,15,15
OTm_total,10.75,15,NA,NA
OTm_total,10.75,16,NA,NA
OTm_total,10.75,17,16,16
OTm_total,10.75,18,NA,NA
OTm_total,10.75,19,NA,NA
OTm_total,11,1,0,5
OTm_total,11,2,NA,NA
OTm_total,11,3,6,6
OTm_total,11,4,7,7
OTm_total,11,5,8,8
OTm_total,11,6,9,9
OTm_total,11,7,10,10
OTm_total,11,8,11,11
OTm_total,11,9,12,12
OTm_total,11,10,NA,NA
OTm_total,11,11,13,13
OTm_total,11,12,14,14
OTm_total,11,13,15,15
OTm_total,11,14,NA,NA
OTm_total,11,15,NA,NA
OTm_total,11,16,16,16
OTm_total,11,17,NA,NA
OTm_total,11,18,NA,NA
OTm_total,11,19,NA,NA
OTm_total,11.25,1,0,5
OTm_total,11.25,2,6,6
OTm_total,11.25,3,7,7
OTm_total,11.25,4,8,8
OTm_total,11.25,5,9,9
OTm_total,11.25,6,NA,NA
OTm_total,11.25,7,10,10
OTm_total,11.25,8,11,11
OTm_total,11.25,9,12,12
OTm_total,11.25,10,13,13
OTm_total,11.25,11,NA,NA
OTm_total,11.25,12,14,14
OTm_total,11.25,13,15,15
OTm_total,11.25,14,NA,NA
OTm_total,11.25,15,NA,NA
OTm_total,11.25,16,16,16
OTm_total,11.25,17,NA,NA
OTm_total,11.25,18,NA,NA
OTm_total,11.25,19,NA,NA
OTm_total,11.5,1,0,5
OTm_total,11.5,2,6,6
OTm_total,11.5,3,7,7
OTm_total,11.5,4,8,8
OTm_total,11.5,5,9,9
OTm_total,11.5,6,10,10
OTm_total,11.5,7,NA,NA
OTm_total,11.5,8,11,11
OTm_total,11.5,9,12,12
OTm_total,11.5,10,13,13
OTm_total,11.5,11,14,14
OTm_total,11.5,12,NA,NA
OTm_total,11.5,13,15,15
OTm_total,11.5,14,NA,NA
OTm_total,11.5,15,NA,NA
OTm_total,11.5,16,16,16
OTm_total,11.5,17,NA,NA
OTm_total,11.5,18,NA,NA
OTm_total,11.5,19,NA,NA
OTm_total,11.75,1,0,5
OTm_total,11.75,2,6,6
OTm_total,11.75,3,7,7
OTm_total,11.75,4,8,8
OTm_total,11.75,5,9,9
OTm_total,11.75,6,10,10
OTm_total,11.75,7,11,11
OTm_total,11.75,8,12,12
OTm_total,11.75,9,NA,NA
OTm_total,11.75,10,13,13
OTm_total,11.75,11,14,14
OTm_total,11.75,12,NA,NA
OTm_total,11.75,13,15,15
OTm_total,11.75,14,NA,NA
OTm_total,11.75,15,NA,NA
OTm_total,11.75,16,16,16
OTm_total,11.75,17,NA,NA
OTm_total,11.75,18,NA,NA
OTm_total,11.75,19,NA,NA
OTm_total,12,1,0,5
OTm_total,12,2,6,6
OTm_total,12,3,7,7
OTm_total,12,4,8,8
OTm_total,12,5,9,9
OTm_total,12,6,10,10
OTm_total,12,7,11,11
OTm_total,12,8,12,12
OTm_total,12,9,NA,NA
OTm_total,12,10,13,13
OTm_total,12,11,14,14
OTm_total,12,12,NA,NA
OTm_total,12,13,15,15
OTm_total,12,14,NA,NA
OTm_total,12,15,NA,NA
OTm_total,12,16,16,16
OTm_total,12,17,NA,NA
OTm_total,12,18,NA,NA
OTm_total,12,19,NA,NA
