thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,image_L.started,image_R.started,item2.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,183.78749779984355,183.88710379996337,183.83860700053629,190.21978309983388,190.21975189994555,190.65303079993464,190.68625539983623,195.88494959985837,196.36852909997106,196.36852909997106,195.88494959985837,196.86841430002823,198.17019909992814,p,0,1295.4905000515282,None,6.295,5.6392758816916455,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,199.00841140002012,199.11806699982844,199.052288300707,207.53315169992857,207.53302699991036,207.93244999996386,207.98282239981927,214.71489329985343,215.18141219997779,215.18141219997779,214.71489329985343,215.68144269986078,216.38255239999853,w,1,683.9632000774145,None,8.356,7.153492605871274,1.1681007390909666,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,217.29173820000142,217.39773999992758,217.33179830072913,218.04743749997579,218.04751639987808,218.51413579983637,218.56420929986052,218.6472972999327,219.13069979986176,219.13069979986176,218.6472972999327,219.630647999933,221.93198069999926,p,0,2294.162099948153,None,0.6658174212818508,0.57,1.1681007390909666,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,222.60302129993215,222.7132466000039,222.64741380035412,225.87914709979668,225.87926069984678,226.11250279983506,226.16254519997165,229.5786811998114,230.0615891998168,230.0615891998168,229.5786811998114,230.56175919994712,231.93080019997433,p,1,1358.8599998038262,None,2.946,3.6690294523328015,1.2454275126723697,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,232.67789909988642,232.77799989981577,232.71212720044423,233.5111036999151,233.5111957999179,233.81097409990616,233.8608545998577,233.99436139990576,234.47756509995088,234.47756509995088,233.99436139990576,234.9773577998858,236.44652799982578,w,1,1463.7307000812143,None,0.5741420833419625,0.461,1.2454275126723697,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,237.0901608997956,237.19371899985708,237.12792440049816,240.14285089983605,240.14297849999275,240.343080899911,240.3930965999607,242.45938999997452,242.94236189988442,242.94236189988442,242.45938999997452,243.4424536000006,244.1942229999695,w,1,747.2910000942647,None,2.6842954984310414,2.298,1.1681007390909666,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,244.98287840001285,245.09240049985237,245.02640870050527,248.40809559985064,248.40814089996275,248.7581275999546,248.80800499999896,251.17423809994943,251.64083799999207,251.64083799999207,251.17423809994943,252.14071519998834,252.8754273999948,w,1,723.7875000573695,None,3.2029322265874303,2.742,1.1681007390909666,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,253.64633090002462,253.7405367998872,253.69120650051627,260.43901189998724,260.43899189995136,260.77232679980807,260.8055510998238,266.337688599946,266.8211064999923,266.8211064999923,266.337688599946,267.32103879982606,268.2057419999037,w,1,867.7746998146176,None,6.561,5.877567761680522,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,269.01998359989375,269.12082609999925,269.05492330051493,270.7368371000048,270.7369461999042,271.10335789993405,271.15354099986143,272.12009079987183,272.6031700000167,272.6031700000167,272.12009079987183,273.1031879999209,273.43798129982315,w,1,324.0168998017907,None,1.5226032881059006,1.364,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,274.097118599806,274.2028403999284,274.13712830049917,274.8362375998404,274.83630369987804,275.0527186000254,275.08598129986785,275.21941969986074,275.68600879982114,275.68600879982114,275.21941969986074,276.1859359999653,277.75395029992796,w,1,1560.7370000798255,None,0.3837502021811446,0.355,1.0809864850173088,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
