thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,image_L.started,image_R.started,sound_2.stopped,item2.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,210.5663148984313,210.595573797822,210.5806177072227,213.30619439855218,213.30213889852166,213.34529349952936,213.3445922203362,214.6619278974831,214.6619278974831,214.16430540010333,214.16430540010333,215.1574012003839,220.31144069880247,w,1,5143.3318965137005,None,2.161686722660019,0.811,2.66545835099879,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,220.61310889944434,220.64253279939294,220.6378567069769,229.33446549996734,229.33446549996734,229.50125439837575,229.50037281885744,233.07707289978862,233.07707289978862,232.63407389819622,232.63407389819622,233.57374389842153,242.51791289821267,p,0,8942.320100963116,None,8.182,3.069640910702684,2.66545835099879,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,242.84749479964375,242.8756005987525,242.8762387469411,244.33917459845543,244.33917459845543,244.4767125993967,244.4759389191866,247.83684289827943,247.83684289827943,247.34541760012507,247.34541760012507,248.33335959911346,257.5432760976255,w,0,9192.512299865484,None,0.95,2.8539577227491115,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,257.8437169007957,257.8717385008931,257.8694437034428,262.0947295986116,262.0947295986116,262.21163899824023,262.21108091920615,263.92794359847903,263.92794359847903,263.4410666972399,263.4410666972399,264.42296789959073,269.0122740007937,p,0,4583.329800516367,None,3.661,1.2186410374186691,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,269.3502601981163,269.39740649983287,269.38730076476935,272.9399483986199,272.9399483986199,272.9988409988582,272.9981509178877,282.47705860063434,282.47705860063434,282.00167379900813,282.00167379900813,282.9720584973693,297.50093429908156,p,1,14511.82110235095,None,2.985520749688075,8.969,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,297.8255746997893,297.8534221984446,297.8435492247343,302.67305739969015,302.66943429782987,302.81758449971676,302.8169090181589,304.76916610077024,304.76916610077024,304.2481412999332,304.2481412999332,305.24672289937735,313.10836669802666,p,0,7852.521702647209,None,4.302,1.432011402069138,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,313.46097479760647,313.48964489996433,313.4836920663715,318.47417129948735,318.4600364975631,318.59118719771504,318.5904996201396,320.5715765990317,320.5715765990317,320.1154914982617,320.1154914982617,321.06813560053706,326.45873609930277,w,1,5373.9604987204075,None,4.47,1.4879337441304155,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,326.7676731981337,326.80100920051336,326.7979848265648,331.98987289890647,331.98987289890647,332.1375374980271,332.1367997184396,334.20378210023046,334.20378210023046,333.7275503985584,333.7275503985584,334.6980478987098,340.91609739884734,p,0,6208.159498870373,None,4.675,1.5561723162885217,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,341.2289997972548,341.257321998477,341.2420415058732,344.7317855991423,344.7283539995551,344.85265669971704,344.85203311890365,354.1796053983271,354.1796053983271,353.702184997499,353.702184997499,354.6620167978108,361.57970909774303,w,0,6910.892199724913,None,2.9332599895474765,8.812,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,361.9510222002864,361.98047479987144,361.9698792852461,370.06617279723287,370.06617279723287,370.1190862990916,370.11809521839024,373.1287733986974,373.1287733986974,372.661497797817,372.6644629985094,373.62502639740705,378.24705160036683,p,0,4607.293799519539,None,7.537,2.508849357832425,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,378.61746349930763,378.6463841982186,378.63871688470243,387.057929597795,387.057929597795,387.1393295004964,387.13819461986424,390.2813149988651,390.2813149988651,389.8131113983691,389.8131113983691,390.7803962007165,396.3143575973809,w,1,5517.563100904226,None,7.892,2.6270185925452436,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,396.6263677999377,396.6557649001479,396.64061380550265,398.63894259929657,398.6227428987622,398.8057598993182,398.80490621849896,403.7592098005116,403.7592098005116,403.2653523981571,403.2653523981571,404.241185400635,411.4233630001545,w,0,7172.360599040985,None,1.4779476116194732,4.44,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,411.7885368987918,411.8181313984096,411.8149656847119,414.42914929986,414.42914929986,414.54581889882684,414.5451899200678,421.40531569719315,421.40531569719315,420.9507712982595,420.9507712982595,421.8765999004245,424.02298510074615,p,1,2143.5788981616497,None,2.110069799562126,6.339,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,424.3501116000116,424.37927290052176,424.3648180246353,429.5217503979802,429.51862590014935,429.6385527998209,429.6377814181149,431.6929624006152,431.6929624006152,431.1850330978632,431.1850330978632,432.1672245003283,435.6411039978266,p,0,3467.1053998172283,None,4.604,1.532538469345958,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,435.97075229883194,435.99941689893603,435.9995712473989,442.5894723981619,442.5894723981619,442.70242219790816,442.70168111771346,445.2192276008427,445.2192276008427,444.7179255001247,444.7314742989838,445.71367760002613,449.37047769874334,p,0,3653.6998003721237,None,6.051,2.014202927457079,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,449.67908680066466,449.7069444991648,449.6961501054466,451.64423760026693,451.63133170083165,451.8107688985765,451.8102487206459,456.6169057004154,456.6169057004154,456.12650080025196,456.12650080025196,457.1136532984674,460.7888456992805,p,1,3669.49649900198,None,1.4313456599017418,4.3,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,461.1000691987574,461.13412549719214,461.1309637270868,463.9480406008661,463.9480406008661,464.0773398987949,464.07671552076937,465.35194999724627,465.35194999724627,464.8785980977118,464.8785980977118,465.84010680019855,477.7448319979012,w,1,11889.05430212617,None,2.286170344223236,0.761,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,478.3090322986245,478.3613427989185,478.3492958493531,482.2247100993991,482.22001760080457,482.07890709862113,482.07816712111236,489.8289077989757,489.8289077989757,489.3364615999162,489.3364615999162,490.32299169898033,493.5491838976741,p,1,3221.0354022681713,None,3.323042714789825,7.24,2.178726131860124,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
