thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,122.46926330006681,122.48650210001506,122.48970540013397,128.49642590002622,128.49642590002622,128.7396970000118,128.73928766004974,134.96577020001132,134.96577020001132,135.4575355000561,135.4575355000561,135.9565573000582,136.5074045000365,p,1,547.4756999174133,None,5.494263693160232,6.216,1.1313617887940566,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,136.73331709997728,136.74982210004237,136.75678090011934,140.63962869998068,140.6566125000827,140.906425400055,140.9063926600502,144.61509410000872,144.61509410000872,145.09104590001516,145.09104590001516,145.59014500002377,145.75800340005662,w,0,153.64270005375147,None,3.385848191651497,3.695,1.091307049474569,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,145.95930139999837,145.97647310001776,145.9737813800457,153.07599170005415,153.07599170005415,153.35647060000338,153.3564757600543,160.80674989998806,160.80674989998806,161.30789310007822,161.30789310007822,161.79037719999906,162.05819020001218,p,1,263.3578999666497,None,6.584100748125896,7.449,1.1313617887940566,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,162.27267390000634,162.28969030000735,162.29068794008344,167.74652460007928,167.74652460007928,168.00701449997723,168.0065905600204,173.6158116000006,173.6158116000006,174.10841049999,174.10841049999,174.6078097000718,175.3922410000814,p,1,777.2974000545219,None,4.947135439288582,5.597,1.1313617887940566,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,175.60330080008134,175.62019859999418,175.62461514014285,178.37422940006945,178.39638749998994,178.6577493000077,178.65761036000913,180.73614489997271,180.73614489997271,181.20871050003916,181.20871050003916,181.70824680000078,184.2925864000572,p,0,2568.2570000644773,None,2.251366443066036,2.063,1.091307049474569,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,184.5300948000513,184.54705100005958,184.54148910014192,191.3742475999752,191.36768989998382,191.60801419999916,191.6075163600617,198.7656188000692,198.7656188000692,199.25866489997134,199.25866489997134,199.75834300008137,200.47599260008428,w,0,701.5022999839857,None,6.31274634757889,7.142,1.1313617887940566,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,200.6925038000336,200.70958160003647,200.70857044006698,204.7381042999914,204.7381042999914,204.99132859997917,204.99073026009137,207.94585490005556,207.94585490005556,208.44234629999846,208.44234629999846,208.94180000002962,210.39294260006864,w,1,1443.667000043206,None,3.511,2.949284639957957,1.190458171595825,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,210.59732459997758,210.61378720006905,210.6086207801127,213.38518750004005,213.38518750004005,213.65842320001684,213.65882446005708,215.56586740002967,215.56586740002967,216.05888700007927,216.05888700007927,216.55863520002458,217.42621559998952,w,1,852.7827999787405,None,2.257108693345684,1.896,1.190458171595825,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,217.62740920006763,217.64474430005066,217.64208548009628,220.84162620001007,220.8263313000789,221.12469199998304,221.12462556007085,224.17595040006563,224.17595040006563,224.65909850003663,224.65909850003663,225.15826669998933,228.80999029998202,w,0,3641.186200082302,None,2.683491726582121,3.036,1.1313617887940566,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,229.03701530001126,229.05395059997682,229.05914860015037,231.24659510003403,231.24659510003403,231.49164120003115,231.49135955999373,232.9162789999973,232.9162789999973,233.40924120007548,233.40924120007548,233.90839490003418,234.99276150006335,w,1,1080.8075999375433,None,1.6761651056069213,1.408,1.190458171595825,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
