thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,172.52022120001493,172.54187210003147,172.54444808004192,180.41022050002357,180.41036263004062,180.16479190002428,180.16479190002428,189.28598800004693,189.28598800004693,189.76112380000995,189.76112380000995,190.25981080002384,190.6609172000317,p,1,396.43610001076013,None,7.116431835508646,8.863,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,190.88893620000454,190.91188830003375,190.9098548500624,199.4426295000012,199.44247123000096,199.19573790003778,199.19573790003778,206.11513410002226,206.11513410002226,206.61066800000845,206.61066800000845,207.10935750004137,208.2102783000446,w,1,1096.0674000089057,None,7.779,6.659528360587918,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,208.44810020003933,208.46918430004735,208.475719280052,212.30888670001877,212.30859253003146,212.05845540005248,212.07499510003254,214.95817060000263,214.95817060000263,215.459937800013,215.459937800013,215.9587223000126,217.1431295000366,w,1,1180.1092000096105,None,3.0896264548956065,2.645,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,217.37563810002757,217.39880420005647,217.3918011500209,223.72475280001527,223.72447123000748,223.4857962000533,223.4857962000533,228.73640040005557,228.73640040005557,229.22597920004046,229.22597920004046,229.72512360004475,230.94242500001565,p,0,1211.0963999875821,None,5.575,4.994275304278145,1.1162780704588713,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,231.18696530000307,231.20744670002023,231.20808718001936,240.17401640000753,240.1736824300082,239.94535110000288,239.94535110000288,247.22520900005475,247.22520900005475,247.70831010001712,247.70831010001712,248.20715890004067,249.29105510003865,p,0,1080.0473000272177,None,8.222,7.0387764726512225,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,249.52889320004033,249.54988290002802,249.55673808002612,252.19013240002096,252.18967993005063,251.93958320003003,251.95656880002934,254.55950070003746,254.55950070003746,255.04118910001125,255.04118910001125,255.53991460002726,256.75759070005734,p,1,1214.4090999499895,None,1.891,2.3551034264634514,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,256.99753940000664,257.01905250002164,257.02310688005525,258.8227776000276,258.82280383003524,258.5728946000454,258.5958547000191,259.6742864000262,259.6742864000262,260.1577643000055,260.1577643000055,260.6563540000352,262.1081197000458,w,1,1450.0320999650285,None,1.05114082069548,0.844,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,262.319579300005,262.3420368000516,262.33989762004927,268.938974800054,268.93857173005233,268.6848806000198,268.6848806000198,275.76426160003757,275.76426160003757,276.2401720000198,276.2401720000198,276.7391633000225,279.15652230003616,w,0,2416.271499998402,None,5.82484007783008,6.804,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,279.3870978000341,279.4080438000383,279.4053685500112,280.73842030001106,280.7381733300339,280.4952395000146,280.4952395000146,281.45553100004327,281.45553100004327,281.9568012000527,281.9568012000527,282.4550406000344,296.53933280002093,w,0,14069.485599990003,None,0.575,0.7161208197866126,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,296.7549561000196,296.7754995000432,296.7713027200312,300.2373951000045,300.2371973300527,299.97521650005365,299.97521650005365,303.94622150005307,303.94622150005307,304.3888240000233,304.3888240000233,304.887369700009,305.6051303000422,p,1,707.9169999924488,None,2.686,3.662240873363535,1.363455276754853,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
