thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,sound_1.stopped,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,395.30736800003797,395.44095620000735,395.35736529924907,395.89082470024005,395.8908988001291,396.29071690002456,396.29071690002456,396.77390639996156,396.77390639996156,397.27392790000886,396.324062500149,396.3908297000453,399.06045910017565,w,1,1780.868100002408,None,0.43529240487417403,0.379,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,399.9288399000652,400.05668350029737,399.97316499915905,402.85605570022017,402.85607250002215,405.4224191000685,405.4224191000685,405.87224710034207,405.87224710034207,406.37205479992554,403.27255110023543,403.33922680001706,407.8072322001681,p,0,1427.3192002438009,None,2.7806737415087683,2.521,1.1030042608126809,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,408.84794900007546,408.9715333003551,408.88788539892994,413.97044009994715,413.9705296001863,419.9196549002081,419.9196549002081,420.38578890031204,420.38578890031204,420.8856492000632,414.57025790028274,414.63713170029223,422.404615000356,w,0,1513.8795003294945,None,5.15354960224599,5.919,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,423.4134872001596,423.5350424000062,423.4682503986173,429.6672469000332,429.6671650001314,437.2989656003192,437.2989656003192,437.76553690014407,437.76553690014407,438.26541310036555,430.2671225001104,430.3004153002985,439.0682892999612,p,1,792.3428998328745,None,6.25301463789457,7.604,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,440.08764740033075,440.2151637002826,440.13153379885483,443.06441680015996,443.06442380012015,446.73038480011746,446.73038480011746,447.1968332999386,447.1968332999386,447.69706790009513,443.64760609995574,443.71424320014194,448.81536839995533,p,1,1104.4714995659888,None,2.99082249316446,3.637,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,449.7719952999614,449.89643490035087,449.8128884988837,454.6286973999813,454.62874649991284,460.17755920020863,460.17755920020863,460.6441520000808,460.6441520000808,461.1440717000514,455.14532240014523,455.2119411001913,462.3464723001234,p,1,1197.414199821651,None,4.805277961614397,5.519,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,463.35377510031685,463.4769182000309,463.39339119889775,467.70936720026657,467.70934259998614,472.7250904003158,472.7250904003158,473.2082919003442,473.2082919003442,473.7080887001939,468.29256250010803,468.34257740015164,474.24457730026916,p,1,528.2829999923706,None,4.350783470590169,4.997,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,475.2469331002794,475.37473030015826,475.2909259986598,475.9909232002683,475.9910541001242,476.82414960023016,476.82414960023016,477.2906380002387,477.2906380002387,477.79054930014536,476.54089489998296,476.6075063003227,479.39346960000694,w,0,1589.2926002852619,None,0.732,0.8073991189148824,1.1030042608126809,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,480.1978184999898,480.32344670034945,480.23994229887614,487.1386971999891,487.13885260014797,493.0208133002743,493.0208133002743,493.50396460015327,493.50396460015327,494.0039401999675,487.522000500001,487.5719783003442,495.1896024001762,p,0,1176.0005997493863,None,6.736,5.864894428236018,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,496.1518282000907,496.27036159997806,496.20334079875613,498.40303259994835,498.4030177999754,501.1190492003225,501.1190492003225,501.60235390020534,501.60235390020534,502.1023985003121,498.936304199975,498.9862433001399,502.85420530010015,w,0,747.0921003259718,None,2.21,2.6874781162607824,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
