thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,325.26676149998093,325.3148105000146,325.2949722400866,326.3088393000071,326.307711190026,326.57282280002255,326.5793308999855,328.6179386000149,328.6179386000149,329.094870299974,329.094870299974,329.5915761999786,336.0260355999926,p,1,6424.238500010688,None,0.763,2.2921786762711287,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,336.76658629998565,336.8145231999806,336.7909985400387,345.51776219997555,345.5169606899784,345.80021349998424,345.80623200000264,348.35760470002424,348.35760470002424,348.84525100002065,348.84525100002065,349.33462610002607,356.13605189998634,p,0,6786.2350000068545,None,8.482,2.82341253192711,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,356.81382199999643,356.8607198999962,356.850683570042,365.49516220000805,365.4942064900009,365.7223195999977,365.7295149000129,368.2775499999989,368.2775499999989,368.7835912000155,368.7835912000155,369.2775167999789,369.6647161000292,p,0,377.64229997992516,None,8.354,2.780805033213756,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,370.38539780001156,370.4330345999915,370.4128607500752,371.82539610000094,371.8254825900134,372.09242830000585,372.0991591999773,375.3186602999922,375.3186602999922,375.8159560000058,375.8159560000058,376.30868750001537,385.5588861000142,p,1,9233.424600039143,None,1.1567270158508263,3.475,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,386.24444550002227,386.29090760002146,386.2737592700461,394.56880710000405,394.56772459002093,394.8022463999805,394.80969500000356,397.24067540001124,397.24883950001094,397.7460632000002,397.7460632000002,398.23468350002076,404.8695997999748,w,1,6619.051899993792,None,8.007,2.6652987671705226,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,405.57538440002827,405.62467829999514,405.6009865600732,408.1973752999911,408.19697979000046,408.4420159999863,408.4496875000186,413.2497759999824,413.2497759999824,413.7611561000231,413.7611561000231,414.22915069997543,414.465638499998,p,1,222.8583000251092,None,2.315,5.043750995256187,2.178726131860124,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,415.0896794000291,415.1365353000001,415.1138524100475,420.76013519999105,420.7589316900179,420.92263370001456,420.92982810002286,423.197828400007,423.197828400007,423.6951360999956,423.6951360999956,424.1924546000082,426.21192650002195,w,1,2014.892700011842,None,5.293,2.429401255439578,2.178726131860124,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,426.87036250001984,426.916984600015,426.89327319007714,427.5241153999814,427.5230501900136,427.7101603000192,427.7228776999982,428.0673362999805,428.0673362999805,428.57063909998396,428.57063909998396,429.05727079999633,434.1088132999721,p,1,5040.561800007708,None,0.307,0.5328040414903501,1.7355180504571663,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,434.72488950000843,434.78201079997234,434.7570000100473,443.9350071999943,443.9336653900158,444.08236980001675,444.0896332000266,449.02745980001055,449.02745980001055,449.5118566000019,449.5118566000019,450.0005093999789,455.98473660001764,w,1,5975.354900001548,None,8.812,5.077446470625161,1.7355180504571663,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,456.67939479998313,456.726101999986,456.716577160079,463.9285402999958,463.9268708900257,464.17180890002055,464.1795886000036,468.62834569998085,468.62834569998085,469.1350766000105,469.1350766000105,469.6273190000211,472.4302295999951,w,1,2792.9880000301637,None,6.937,4.6953594797976494,1.4774161658648886,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,473.1303941999795,473.17720199999167,473.1616048600641,476.1077168000047,476.1067891899787,476.33271390001755,476.3401481999899,480.050807200023,480.05638050002744,480.5432009000215,480.5432009000215,481.04002590000164,490.2573995999992,w,0,9211.25580003718,None,2.662,3.932881833532333,1.4774161658648886,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,490.9613793999888,491.0180871000048,491.0053809500823,494.6011597000179,494.60065499001064,494.8700461999979,494.8700461999979,496.54917030001525,496.54917030001525,497.032099700009,497.032099700009,497.5177796999924,500.95356130000437,w,1,3419.2006000084803,None,3.333,1.9204640361545238,1.7355180504571663,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,501.7417869999772,501.79116530000465,501.76877351005675,505.9311252000043,505.930124390003,506.2625175000285,506.2697996000061,512.8379572000122,512.8379572000122,513.3396210999927,513.3396210999927,513.8287935000262,523.3788871000288,p,1,9540.664100029971,None,3.9717247528392234,6.893,1.7355180504571663,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,524.0843801000156,524.1388255999773,524.1270075500652,527.5569262999925,527.556065690011,527.8229587000096,527.8303024999914,529.7096946000238,529.7209881999879,530.2283963999944,530.2283963999944,530.7062050999957,550.252839200024,w,1,19531.32980002556,None,3.176,2.1496989632171446,1.4774161658648886,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
